loja,cod,desc,saldo,custo_hoje,preco,valor_exposto
L3,58148,7.3 LOIRO DOURADO ITALLIAN COLOR 60G,-1,5.38,34.5,34
L3,78593,KIT1138 KIT DE ESPONJAS,-1,17,34,34
L3,202767,SERUM BROW MODELATION INCOLOR CILIOS E S,-1,16.99,33.98,34
L5,5222,SPRAY SEC IMPALA 400ML,-2,7.72,16.9,34
L3,27569,PIRANHA COM FLOR TECIDO MÉDIA - ZGY,-6,2,5.53,33
L3,203423,CILIOS POSTICOS FIO A FIO DE FIBRA TEREF,-3,9.6,10.9,33
L5,48034,6/0 NATUM COLOR,-1,16.25,33,33
L5,48063,55/62 NATUM COLOR,-1,4.39,33,33
L5,77859,ESCOVA RAQUETE MARBLE BRANCA,-1,16.69,33.38,33
L3,27407,PRISILHA LACO G,-3,1,10.5,32
L3,62467,ESM COL FINI BEIJOS FINI C/6,-3,32.4,10.8,32
L5,40063,ESTOJO MATTE METALIC  VIVAI,-1,0.12,31.89,32
L5,52048,BRINCO DE METALPHD,-1,14.4,31.9,32
L5,76334,BORRIFADOR 150 ML MK9386,-2,7.18,16.22,32
L5,76446,LANTEJOULAS PARA UNHA,-2,7,15.82,32
L3,2620,500 SUPERIA  AMEND,-1,17.03,30.9,31
L3,19830,ILUMIN COMPAC  RENEE ANAIRANA,-1,0.01,29.9,30
L3,52668,ESMALTE 10ML 7 MARAVILHAS CREMOSO DOCE D,-5,0,5.9,30
L5,5150,0/13 NATUM COLOR,-1,4.03,30,30
L5,48255,ESMALTE IMPALA BARBIE MAGIA DE UNICORNIO,-5,2.74,5.9,30
L3,573,ESM RISQUE DUNA 8ML,-1,3.04,29.4,29
L3,7896013545026,ESM RISQUE BRANCO PURISSIMO,-1,3.31,29.4,29
L5,5199,ESM RISQUE CAFE BRASIL,-6,2.65,4.9,29
L3,5716,BRINCO ARGOLA AÇO INOXIDAVEL,-2,0.01,13.9,28
L3,8456,ESM IMP CREM MARILYN C/6,-8,1.83,3.5,28
L3,23817,CREME DEPILATORIO CORPORAL BANHO 120G - ,-1,14.62,27.9,28
L3,47887,AGUA OXIGENADA CREM ALYNE 30V 1L,-2,7.02,14,28
L3,79414,ESMALTE IMPALA (IM)PREVISIVEL DUO COLOR ,-4,3.48,6.96,28
L5,76463,SUTIA NIPPLE SILICONE PAD,-11,15.4,2.57,28
L3,76256,BRINCO OTIMO 76256,-3,3,9,27
L3,203454,BRINCO DE METAL DE FLOR - DAFU,-3,6.91,8.9,27
L3,77665,PULSEIRA,-3,4.3,8.6,26
L5,14835,ESF PES TRADICIONAL 280G - PELO E PELE,-1,11.06,25.9,26
L5,60145,ESCOVA,-2,0.81,12.9,26
L3,18887,MS SOS CAFE SALON OPUS 400G,-1,13.74,24.9,25
L3,76240,BRINCO OTIMO 76240,-1,8.3,24.9,25
L5,10771,3/0 ADVANCED - NÁTUM,-1,3.99,24.9,25
L5,57255,5/0 ADVANCED,-1,3.99,24.9,25
L5,57434,CREME ESFOLIANTE PERNAS E PES 3X1 CARMES,-1,76.33,24.9,25
L3,52053,COLAR DE METAL PHD,-1,11.5,23.9,24
L3,76255,PULSEIRA OTIMO 76255,-1,7.9,23.9,24
